Contaminant(Node);Sensor2(Link)_greedyonly;Sensor2(Link);Frequency2;score(Frequency*EigenVector)2;Coverage2;Sensor3(Link)__greedyonly;Sensor3(Link);Frequency3;score(Frequency*EigenVector)3;Coverage3;Sensor4(Link)__greedyonly;Sensor4(Link);Frequency4;score(Frequency*EigenVector)4;Coverage4;Sensor5(Link)__greedyonly;Sensor5(Link);Frequency5;score(Frequency*EigenVector)5;Coverage5
1;[2, 38];[1, 2];[45, 61];[0.0, 0.0];124;[2, 38, 174];[1, 2, 3];[45, 61, 0];[0.0, 0.0, 0.0];124;[2, 38, 174, 1];[1, 2, 3, 4];[45, 61, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[2, 38, 174, 1, 3];[1, 2, 3, 4, 5];[45, 61, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
2;[14, 16];[85, 86];[21, 16];[5.0821, 4.492];16;[14, 16, 34];[85, 86, 83];[21, 16, 22];[5.0821, 4.492, 4.1269];16;[14, 16, 34, 170];[85, 86, 83, 82];[21, 16, 22, 27];[5.0821, 4.492, 4.1269, 2.7559];22;[14, 16, 34, 170, 45];[85, 86, 83, 82, 88];[21, 16, 22, 27, 15];[5.0821, 4.492, 4.1269, 2.7559, 2.4599];22
3;[3, 2];[1, 2];[32, 60];[0.0, 0.0];124;[3, 2, 38];[1, 2, 3];[32, 60, 61];[0.0, 0.0, 0.0];124;[3, 2, 38, 174];[1, 2, 3, 4];[32, 60, 61, 0];[0.0, 0.0, 0.0, 0.0];124;[3, 2, 38, 174, 1];[1, 2, 3, 4, 5];[32, 60, 61, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
4;[36, 3];[23, 1];[3, 20];[0.0005, 0.0];120;[36, 3, 2];[23, 1, 2];[3, 20, 48];[0.0005, 0.0, 0.0];124;[36, 3, 2, 38];[23, 1, 2, 3];[3, 20, 48, 60];[0.0005, 0.0, 0.0, 0.0];124;[36, 3, 2, 38, 174];[23, 1, 2, 3, 4];[3, 20, 48, 60, 0];[0.0005, 0.0, 0.0, 0.0, 0.0];124
5;[4, 29];[1, 2];[33, 60];[0.0, 0.0];124;[4, 29, 2];[1, 2, 3];[33, 60, 23];[0.0, 0.0, 0.0];124;[4, 29, 2, 36];[1, 2, 3, 4];[33, 60, 23, 61];[0.0, 0.0, 0.0, 0.0];124;[4, 29, 2, 36, 38];[1, 2, 3, 4, 5];[33, 60, 23, 61, 12];[0.0, 0.0, 0.0, 0.0, 0.0];127
6;[5, 22];[22, 1];[60, 0];[0.0139, 0.0];122;[5, 22, 4];[22, 1, 2];[60, 0, 0];[0.0139, 0.0, 0.0];124;[5, 22, 4, 29];[22, 1, 2, 3];[60, 0, 0, 0];[0.0139, 0.0, 0.0, 0.0];124;[5, 22, 4, 29, 36];[22, 1, 2, 3, 4];[60, 0, 0, 0, 49];[0.0139, 0.0, 0.0, 0.0, 0.0];124
7;[6, 5];[22, 1];[60, 0];[0.0139, 0.0];122;[6, 5, 22];[22, 1, 2];[60, 0, 0];[0.0139, 0.0, 0.0];124;[6, 5, 22, 4];[22, 1, 2, 3];[60, 0, 0, 0];[0.0139, 0.0, 0.0, 0.0];124;[6, 5, 22, 4, 29];[22, 1, 2, 3, 4];[60, 0, 0, 0, 49];[0.0139, 0.0, 0.0, 0.0, 0.0];124
8;[7, 1];[1, 2];[0, 0];[0.0, 0.0];124;[7, 1, 2];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[7, 1, 2, 3];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[7, 1, 2, 3, 4];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
9;[8, 6];[22, 11];[53, 24];[0.0123, 0.0];36;[8, 6, 5];[22, 11, 1];[53, 24, 0];[0.0123, 0.0, 0.0];122;[8, 6, 5, 22];[22, 11, 1, 2];[53, 24, 0, 0];[0.0123, 0.0, 0.0, 0.0];124;[8, 6, 5, 22, 4];[22, 11, 1, 2, 3];[53, 24, 0, 0, 0];[0.0123, 0.0, 0.0, 0.0, 0.0];124
10;[9, 11];[22, 11];[45, 60];[0.0104, 0.0];36;[9, 11, 8];[22, 11, 10];[45, 60, 4];[0.0104, 0.0, 0.0];54;[9, 11, 8, 6];[22, 11, 10, 1];[45, 60, 4, 0];[0.0104, 0.0, 0.0, 0.0];122;[9, 11, 8, 6, 5];[22, 11, 10, 1, 2];[45, 60, 4, 0, 0];[0.0104, 0.0, 0.0, 0.0, 0.0];124
11;[13, 37];[1, 2];[0, 0];[0.0, 0.0];124;[13, 37, 172];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[13, 37, 172, 1];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[13, 37, 172, 1, 2];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
12;[15, 20];[1, 2];[0, 0];[0.0, 0.0];124;[15, 20, 13];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[15, 20, 13, 37];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[15, 20, 13, 37, 1];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
13;[21, 20];[1, 2];[0, 0];[0.0, 0.0];124;[21, 20, 1];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[21, 20, 1, 2];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[21, 20, 1, 2, 3];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
14;[19, 1];[1, 2];[0, 0];[0.0, 0.0];124;[19, 1, 2];[1, 2, 3];[0, 0, 0];[0.0, 0.0, 0.0];124;[19, 1, 2, 3];[1, 2, 3, 4];[0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[19, 1, 2, 3, 4];[1, 2, 3, 4, 5];[0, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
15;[21, 25];[25, 1];[24, 0];[0.0058, 0.0];120;[21, 25, 1];[25, 1, 2];[24, 0, 0];[0.0058, 0.0, 0.0];124;[21, 25, 1, 2];[25, 1, 2, 3];[24, 0, 0, 0];[0.0058, 0.0, 0.0, 0.0];124;[21, 25, 1, 2, 3];[25, 1, 2, 3, 4];[24, 0, 0, 0, 0];[0.0058, 0.0, 0.0, 0.0, 0.0];124
16;[22, 23];[22, 23];[61, 60];[0.0141, 0.0106];18;[22, 23, 24];[22, 23, 24];[61, 60, 60];[0.0141, 0.0106, 0.0106];21;[22, 23, 24, 36];[22, 23, 24, 25];[61, 60, 60, 41];[0.0141, 0.0106, 0.0106, 0.0099];24;[22, 23, 24, 36, 25];[22, 23, 24, 25, 1];[61, 60, 60, 41, 0];[0.0141, 0.0106, 0.0106, 0.0099, 0.0];122
17;[26, 1];[26, 1];[61, 0];[0.0161, 0.0];121;[26, 1, 2];[26, 1, 2];[61, 0, 0];[0.0161, 0.0, 0.0];124;[26, 1, 2, 3];[26, 1, 2, 3];[61, 0, 0, 0];[0.0161, 0.0, 0.0, 0.0];124;[26, 1, 2, 3, 4];[26, 1, 2, 3, 4];[61, 0, 0, 0, 0];[0.0161, 0.0, 0.0, 0.0, 0.0];124
18;[38, 1];[1, 2];[60, 0];[0.0, 0.0];124;[38, 1, 174];[1, 2, 3];[60, 0, 0];[0.0, 0.0, 0.0];124;[38, 1, 174, 2];[1, 2, 3, 4];[60, 0, 0, 0];[0.0, 0.0, 0.0, 0.0];124;[38, 1, 174, 2, 3];[1, 2, 3, 4, 5];[60, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.0, 0.0];127
19;[27, 10];[27, 22];[61, 42];[0.0124, 0.0097];27;[27, 10, 38];[27, 22, 10];[61, 42, 60];[0.0124, 0.0097, 0.0];51;[27, 10, 38, 9];[27, 22, 10, 11];[61, 42, 60, 57];[0.0124, 0.0097, 0.0, 0.0];58;[27, 10, 38, 9, 11];[27, 22, 10, 11, 1];[61, 42, 60, 57, 50];[0.0124, 0.0097, 0.0, 0.0, 0.0];122
20;[55, 1];[55, 1];[60, 0];[0.0116, 0.0];121;[55, 1, 2];[55, 1, 2];[60, 0, 0];[0.0116, 0.0, 0.0];125;[55, 1, 2, 3];[55, 1, 2, 3];[60, 0, 0, 0];[0.0116, 0.0, 0.0, 0.0];125;[55, 1, 2, 3, 4];[55, 1, 2, 3, 4];[60, 0, 0, 0, 0];[0.0116, 0.0, 0.0, 0.0, 0.0];125
21;[42, 58];[57, 60];[48, 51];[6.6912, 0.1271];30;[42, 58, 40];[57, 60, 61];[48, 51, 36];[6.6912, 0.1271, 0.1106];32;[42, 58, 40, 55];[57, 60, 61, 58];[48, 51, 36, 61];[6.6912, 0.1271, 0.1106, 0.1065];37;[42, 58, 40, 55, 60];[57, 60, 61, 58, 55];[48, 51, 36, 61, 60];[6.6912, 0.1271, 0.1106, 0.1065, 0.0116];38
22;[39, 40];[57, 58];[25, 60];[3.485, 0.1047];20;[39, 40, 42];[57, 58, 60];[25, 60, 16];[3.485, 0.1047, 0.0399];35;[39, 40, 42, 58];[57, 58, 60, 28];[25, 60, 16, 42];[3.485, 0.1047, 0.0399, 0.0099];46;[39, 40, 42, 58, 28];[57, 58, 60, 28, 27];[25, 60, 16, 42, 37];[3.485, 0.1047, 0.0399, 0.0099, 0.0075];52
23;[43, 75];[73, 69];[49, 52];[15.7898, 12.886];28;[43, 75, 39];[73, 69, 71];[49, 52, 54];[15.7898, 12.886, 12.7944];31;[43, 75, 39, 46];[73, 69, 71, 74];[49, 52, 54, 60];[15.7898, 12.886, 12.7944, 11.713];39;[43, 75, 39, 46, 47];[73, 69, 71, 74, 77];[49, 52, 54, 60, 48];[15.7898, 12.886, 12.7944, 11.713, 10.8671];42
24;[44, 43];[73, 69];[48, 52];[15.4676, 12.886];28;[44, 43, 46];[73, 69, 71];[48, 52, 54];[15.4676, 12.886, 12.7944];31;[44, 43, 46, 47];[73, 69, 71, 74];[48, 52, 54, 59];[15.4676, 12.886, 12.7944, 11.5177];39;[44, 43, 46, 47, 66];[73, 69, 71, 74, 77];[48, 52, 54, 59, 47];[15.4676, 12.886, 12.7944, 11.5177, 10.6407];42
25;[47, 48];[69, 71];[53, 54];[13.1338, 12.7944];22;[47, 48, 66];[69, 71, 70];[53, 54, 53];[13.1338, 12.7944, 10.0384];27;[47, 48, 66, 67];[69, 71, 70, 74];[53, 54, 53, 32];[13.1338, 12.7944, 10.0384, 6.2469];41;[47, 48, 66, 67, 49];[69, 71, 70, 74, 73];[53, 54, 53, 32, 19];[13.1338, 12.7944, 10.0384, 6.2469, 6.1226];44
26;[67, 48];[69, 71];[58, 55];[14.3728, 13.0313];22;[67, 48, 49];[69, 71, 70];[58, 55, 58];[14.3728, 13.0313, 10.9854];27;[67, 48, 49, 68];[69, 71, 70, 74];[58, 55, 58, 30];[14.3728, 13.0313, 10.9854, 5.8565];41;[67, 48, 49, 68, 30];[69, 71, 70, 74, 73];[58, 55, 58, 30, 18];[14.3728, 13.0313, 10.9854, 5.8565, 5.8003];44
27;[30, 49];[71, 69];[56, 50];[13.2682, 12.3904];22;[30, 49, 50];[71, 69, 33];[56, 50, 41];[13.2682, 12.3904, 7.4687];33;[30, 49, 50, 71];[71, 69, 33, 70];[56, 50, 41, 35];[13.2682, 12.3904, 7.4687, 6.6291];38;[30, 49, 50, 71, 162];[71, 69, 33, 70, 74];[56, 50, 41, 35, 28];[13.2682, 12.3904, 7.4687, 6.6291, 5.466];52
28;[65, 30];[71, 69];[56, 35];[13.2682, 8.6733];22;[65, 30, 50];[71, 69, 33];[56, 35, 41];[13.2682, 8.6733, 7.4687];33;[65, 30, 50, 71];[71, 69, 33, 70];[56, 35, 41, 35];[13.2682, 8.6733, 7.4687, 6.6291];38;[65, 30, 50, 71, 162];[71, 69, 33, 70, 74];[56, 35, 41, 35, 27];[13.2682, 8.6733, 7.4687, 6.6291, 5.2708];52
29;[30, 71];[71, 69];[60, 34];[14.216, 8.4254];22;[30, 71, 162];[71, 69, 33];[60, 34, 46];[14.216, 8.4254, 8.3796];33;[30, 71, 162, 165];[71, 69, 33, 70];[60, 34, 46, 43];[14.216, 8.4254, 8.3796, 8.1444];38;[30, 71, 162, 165, 166];[71, 69, 33, 70, 74];[60, 34, 46, 43, 26];[14.216, 8.4254, 8.3796, 8.1444, 5.0756];52
30;[71, 162];[71, 33];[60, 46];[14.216, 8.3796];33;[71, 162, 165];[71, 33, 69];[60, 46, 25];[14.216, 8.3796, 6.1952];33;[71, 162, 165, 166];[71, 33, 69, 70];[60, 46, 25, 26];[14.216, 8.3796, 6.1952, 4.9245];38;[71, 162, 165, 166, 168];[71, 33, 69, 70, 74];[60, 46, 25, 26, 17];[14.216, 8.3796, 6.1952, 4.9245, 3.3187];52
31;[45, 44];[73, 86];[45, 49];[14.5009, 13.7568];32;[45, 44, 51];[73, 86, 69];[45, 49, 49];[14.5009, 13.7568, 12.1426];34;[45, 44, 51, 43];[73, 86, 69, 71];[45, 49, 49, 51];[14.5009, 13.7568, 12.1426, 12.0836];37;[45, 44, 51, 43, 46];[73, 86, 69, 71, 87];[45, 49, 49, 51, 53];[14.5009, 13.7568, 12.1426, 12.0836, 11.3723];37
32;[84, 52];[86, 87];[56, 60];[15.722, 12.8743];13;[84, 52, 83];[86, 87, 83];[56, 60, 60];[15.722, 12.8743, 11.2553];16;[84, 52, 83, 87];[86, 87, 83, 85];[56, 60, 60, 46];[15.722, 12.8743, 11.2553, 11.1322];16;[84, 52, 83, 87, 91];[86, 87, 83, 85, 73];[56, 60, 60, 46, 31];[15.722, 12.8743, 11.2553, 11.1322, 9.9895];32
33;[53, 89];[89, 90];[60, 26];[7.5201, 2.4906];12;[53, 89, 142];[89, 90, 53];[60, 26, 60];[7.5201, 2.4906, 0.0082];19;[53, 89, 142, 141];[89, 90, 53, 52];[60, 26, 60, 28];[7.5201, 2.4906, 0.0082, 0.0069];23;[53, 89, 142, 141, 145];[89, 90, 53, 52, 54];[60, 26, 60, 28, 25];[7.5201, 2.4906, 0.0082, 0.0069, 0.0063];24
34;[142, 141];[90, 53];[14, 15];[1.3411, 0.002];19;[142, 141, 145];[90, 53, 1];[14, 15, 0];[1.3411, 0.002, 0.0];120;[142, 141, 145, 147];[90, 53, 1, 2];[14, 15, 0, 0];[1.3411, 0.002, 0.0, 0.0];124;[142, 141, 145, 147, 140];[90, 53, 1, 2, 3];[14, 15, 0, 0, 0];[1.3411, 0.002, 0.0, 0.0, 0.0];124
35;[34, 45];[85, 86];[22, 16];[5.3241, 4.492];16;[34, 45, 51];[85, 86, 83];[22, 16, 23];[5.3241, 4.492, 4.3145];16;[34, 45, 51, 52];[85, 86, 83, 82];[22, 16, 23, 28];[5.3241, 4.492, 4.3145, 2.858];22;[34, 45, 51, 52, 91];[85, 86, 83, 82, 88];[22, 16, 23, 28, 15];[5.3241, 4.492, 4.3145, 2.858, 2.4599];22
36;[55, 57];[57, 58];[50, 35];[6.97, 0.0611];20;[55, 57, 58];[57, 58, 60];[50, 35, 24];[6.97, 0.0611, 0.0598];35;[55, 57, 58, 60];[57, 58, 60, 61];[50, 35, 24, 7];[6.97, 0.0611, 0.0598, 0.0215];37;[55, 57, 58, 60, 35];[57, 58, 60, 61, 55];[50, 35, 24, 7, 61];[6.97, 0.0611, 0.0598, 0.0215, 0.0118];38
37;[56, 1];[56, 1];[61, 0];[0.0154, 0.0];121;[56, 1, 2];[56, 1, 2];[61, 0, 0];[0.0154, 0.0, 0.0];125;[56, 1, 2, 3];[56, 1, 2, 3];[61, 0, 0, 0];[0.0154, 0.0, 0.0, 0.0];125;[56, 1, 2, 3, 4];[56, 1, 2, 3, 4];[61, 0, 0, 0, 0];[0.0154, 0.0, 0.0, 0.0, 0.0];125
38;[57, 60];[57, 60];[56, 51];[7.8064, 0.1271];30;[57, 60, 35];[57, 60, 61];[56, 51, 36];[7.8064, 0.1271, 0.1106];32;[57, 60, 35, 61];[57, 60, 61, 58];[56, 51, 36, 35];[7.8064, 0.1271, 0.1106, 0.0611];37;[57, 60, 35, 61, 58];[57, 60, 61, 58, 55];[56, 51, 36, 35, 22];[7.8064, 0.1271, 0.1106, 0.0611, 0.0043];38
39;[59, 1];[59, 1];[61, 0];[0.1982, 0.0];121;[59, 1, 2];[59, 1, 2];[61, 0, 0];[0.1982, 0.0, 0.0];125;[59, 1, 2, 3];[59, 1, 2, 3];[61, 0, 0, 0];[0.1982, 0.0, 0.0, 0.0];125;[59, 1, 2, 3, 4];[59, 1, 2, 3, 4];[61, 0, 0, 0, 0];[0.1982, 0.0, 0.0, 0.0, 0.0];125
40;[35, 60];[57, 62];[26, 26];[3.6244, 0.1487];29;[35, 60, 61];[57, 62, 61];[26, 26, 48];[3.6244, 0.1487, 0.1475];31;[35, 60, 61, 64];[57, 62, 61, 64];[26, 26, 48, 39];[3.6244, 0.1487, 0.1475, 0.1312];34;[35, 60, 61, 64, 57];[57, 62, 61, 64, 60];[26, 26, 48, 39, 50];[3.6244, 0.1487, 0.1475, 0.1312, 0.1246];35
41;[61, 63];[57, 61];[2, 61];[0.2788, 0.1875];31;[61, 63, 35];[57, 61, 63];[2, 61, 39];[0.2788, 0.1875, 0.1711];34;[61, 63, 35, 64];[57, 61, 63, 64];[2, 61, 39, 19];[0.2788, 0.1875, 0.1711, 0.0639];34;[61, 63, 35, 64, 60];[57, 61, 63, 64, 60];[2, 61, 39, 19, 11];[0.2788, 0.1875, 0.1711, 0.0639, 0.0274];35
42;[62, 64];[62, 64];[61, 55];[0.3489, 0.185];20;[62, 64, 35];[62, 64, 63];[61, 55, 29];[0.3489, 0.185, 0.1272];20;[62, 64, 35, 63];[62, 64, 63, 65];[61, 55, 29, 28];[0.3489, 0.185, 0.1272, 0.0722];26;[62, 64, 35, 63, 65];[62, 64, 63, 65, 61];[61, 55, 29, 28, 17];[0.3489, 0.185, 0.1272, 0.0722, 0.0522];31
