Contaminant(Node);Sensor2(Link);Coverage2;Sensor3(Link);Coverage3
1;[2, 38];94;[2, 38, 1];124
2;[14, 16];39;[14, 16, 34];44
3;[3, 2];111;[3, 2, 38];111
4;[36, 3];95;[36, 3, 2];111
5;[4, 29];80;[4, 29, 2];105
6;[5, 22];83;[5, 22, 4];103
7;[6, 5];101;[6, 5, 22];101
8;[7, 1];122;[7, 1, 2];125
9;[8, 6];104;[8, 6, 5];114
10;[9, 11];75;[9, 11, 8];95
11;[13, 37];23;[13, 37, 1];120
12;[15, 20];20;[15, 20, 13];35
13;[21, 20];9;[21, 20, 1];120
14;[19, 1];120;[19, 1, 2];124
15;[21, 25];8;[21, 25, 1];120
16;[22, 23];18;[22, 23, 24];21
17;[26, 1];121;[26, 1, 2];124
18;[38, 1];120;[38, 1, 2];124
19;[27, 10];43;[27, 10, 38];57
20;[55, 1];121;[55, 1, 2];125
21;[42, 58];22;[42, 58, 40];32
22;[39, 40];33;[39, 40, 42];33
23;[43, 75];28;[43, 75, 39];37
24;[44, 43];29;[44, 43, 46];29
25;[47, 48];23;[47, 48, 66];26
26;[67, 48];30;[67, 48, 49];30
27;[30, 49];27;[30, 49, 50];29
28;[65, 30];25;[65, 30, 50];31
29;[30, 71];25;[30, 71, 33];38
30;[71, 33];33;[71, 33, 31];38
31;[45, 44];28;[45, 44, 51];30
32;[84, 52];22;[84, 52, 83];25
33;[53, 89];19;[53, 89, 52];23
34;[53, 90];19;[53, 90, 1];120
35;[34, 45];31;[34, 45, 51];33
36;[55, 57];15;[55, 57, 58];21
37;[56, 1];121;[56, 1, 2];125
38;[57, 60];30;[57, 60, 35];37
39;[59, 1];121;[59, 1, 2];125
40;[35, 60];32;[35, 60, 61];32
41;[61, 63];25;[61, 63, 35];33
42;[62, 64];20;[62, 64, 35];31
43;[63, 64];19;[63, 64, 65];26
44;[68, 69];23;[68, 69, 70];28
45;[69, 70];24;[69, 70, 68];28
46;[1, 2];124;[1, 2, 3];124
47;[31, 1];120;[31, 1, 2];124
48;[72, 39];34;[72, 39, 40];36
49;[73, 78];28;[73, 78, 72];32
50;[74, 73];34;[74, 73, 76];42
51;[81, 77];22;[81, 77, 80];25
52;[79, 80];14;[79, 80, 72];17
53;[80, 72];17;[80, 72, 39];34
54;[82, 44];28;[82, 44, 46];28
55;[83, 87];16;[83, 87, 82];22
56;[86, 85];16;[86, 85, 88];16
57;[85, 88];16;[85, 88, 82];22
58;[54, 90];5;[54, 90, 89];14
59;[104, 92];14;[104, 92, 108];20
60;[94, 93];6;[94, 93, 95];7
61;[93, 95];6;[93, 95, 96];7
62;[102, 96];7;[102, 96, 101];8
63;[107, 97];6;[107, 97, 98];7
64;[98, 99];7;[98, 99, 105];7
65;[99, 105];7;[99, 105, 106];10
66;[105, 106];9;[105, 106, 108];20
67;[100, 106];7;[100, 106, 108];18
68;[101, 103];5;[101, 103, 100];6
69;[108, 109];17;[108, 109, 112];17
70;[112, 109];8;[112, 109, 114];9
71;[110, 111];9;[110, 111, 109];10
72;[110, 125];8;[110, 125, 120];9
73;[111, 113];9;[111, 113, 115];10
74;[114, 119];2;[114, 119, 116];3
75;[113, 116];4;[113, 116, 117];6
76;[115, 117];4;[115, 117, 1];120
77;[117, 118];6;[117, 118, 1];120
78;[118, 124];5;[118, 124, 129];6
79;[120, 118];4;[120, 118, 121];5
80;[121, 122];7;[121, 122, 126];8
81;[123, 126];6;[123, 126, 122];7
82;[123, 129];7;[123, 129, 128];8
83;[127, 126];8;[127, 126, 1];120
84;[127, 1];120;[127, 1, 2];124
85;[128, 1];120;[128, 1, 2];124
86;[127, 1];120;[127, 1, 2];124
87;[127, 1];120;[127, 1, 2];124
88;[1, 2];124;[1, 2, 3];124
89;[122, 123];6;[122, 123, 126];7
90;[122, 123];6;[122, 123, 126];7
91;[122, 1];120;[122, 1, 2];124
92;[1, 2];124;[1, 2, 3];124
93;[1, 2];124;[1, 2, 3];124
94;[1, 2];124;[1, 2, 3];124
95;[1, 2];124;[1, 2, 3];124
96;[1, 2];124;[1, 2, 3];124
97;[1, 2];124;[1, 2, 3];124
98;[1, 2];124;[1, 2, 3];124
99;[1, 2];124;[1, 2, 3];124
100;[1, 2];124;[1, 2, 3];124
101;[1, 2];124;[1, 2, 3];124
102;[1, 2];124;[1, 2, 3];124
103;[33, 1];120;[33, 1, 2];124
104;[33, 1];120;[33, 1, 2];124
105;[33, 31];28;[33, 31, 1];120
106;[33, 31];28;[33, 31, 1];120
107;[33, 31];28;[33, 31, 1];120
108;[16, 34];34;[16, 34, 45];44
109;[16, 34];34;[16, 34, 45];44
110;[25, 21];8;[25, 21, 24];10
111;[25, 21];8;[25, 21, 1];120
112;[12, 1];120;[12, 1, 2];124
113;[1, 2];124;[1, 2, 3];124
114;[28, 10];43;[28, 10, 27];48
115;[28, 10];43;[28, 10, 27];48
116;[1, 2];124;[1, 2, 3];124
117;[1, 2];124;[1, 2, 3];124
118;[31, 1];120;[31, 1, 2];124
119;[31, 1];120;[31, 1, 2];124
120;[33, 1];120;[33, 1, 2];124
121;[33, 1];120;[33, 1, 2];124
122;[33, 1];120;[33, 1, 2];124
123;[32, 1];120;[32, 1, 2];124
124;[41, 1];120;[41, 1, 2];124
125;[1, 2];124;[1, 2, 3];124
126;[14, 17];69;[14, 17, 16];71
127;[17, 18];60;[17, 18, 14];72
128;[71, 30];25;[71, 30, 50];31
129;[33, 1];120;[33, 1, 2];124
