Contaminant(Node);Sensor2(cgmo);score2(cgmo);Coverage2(cgmo);Sensor2(ev+cgmo);score2(ev+cgmo);Coverage2(ev+cgmo);Sensor3(cgmo);score3(cgmo);Coverage3(cgmo);Sensor3(ev+cgmo);score3(ev+cgmo);Coverage3(ev+cgmo);Sensor4(cgmo);score4(cgmo);Coverage4(cgmo);Sensor4(ev+cgmo);score4(ev+cgmo);Coverage4(ev+cgmo);Sensor5(cgmo);score5(cgmo);Coverage5(cgmo);Sensor5(ev+cgmo);score5(ev+cgmo);Coverage5(ev+cgmo)
1;[1, 2];[3.0350877192982457, 0.5219686384101847];100.00;[1, 2];[2.215913606267942, 0.04724380936476929];100.00;[1, 2, 3];[3.0350877192982457, 0.5219686384101847, 0.5219686384101847];100.00;[1, 2, 3];[2.215913606267942, 0.04724380936476929, 0.04724380936476929];100.00;[1, 2, 3, 4];[3.0350877192982457, 0.5219686384101847, 0.5219686384101847, 0.5219686384101847];100.00;[1, 2, 3, 4];[2.215913606267942, 0.04724380936476929, 0.04724380936476929, 0.04724380936476929];100.00;[1, 2, 3, 4, 5];[3.0350877192982457, 0.5219686384101847, 0.5219686384101847, 0.5219686384101847, 0.5219686384101847];100.00;[1, 2, 3, 4, 5];[2.215913606267942, 0.04724380936476929, 0.04724380936476929, 0.04724380936476929, 0.04724380936476929];100.00
2;[2, 3];[0.9333333333333333, 0.9333333333333333];5.17;[2, 3];[0.38103168557587397, 0.38103168557587397];5.17;[2, 3, 4];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[2, 3, 4];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[2, 3, 4];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[2, 3, 4];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[2, 3, 4];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[2, 3, 4];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17
3;[3, 4];[0.9333333333333333, 0.9333333333333333];5.17;[3, 4];[0.38103168557587397, 0.38103168557587397];5.17;[3, 4, 5];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[3, 4, 5];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[3, 4, 5];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[3, 4, 5];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[3, 4, 5];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[3, 4, 5];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17
4;[19, 4];[0.9333333333333333, 0.9333333333333333];5.17;[19, 4];[0.38103168557587397, 0.38103168557587397];5.17;[19, 4, 5];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[19, 4, 5];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[19, 4, 5];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[19, 4, 5];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[19, 4, 5];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[19, 4, 5];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17
5;[5];[2.0];1.72;[5];[1.4142135623730951];1.72;[5];[2.0];1.72;[5];[1.4142135623730951];1.72;[5];[2.0];1.72;[5];[1.4142135623730951];1.72;[5];[2.0];1.72;[5];[1.4142135623730951];1.72
6;[44, 6];[1.1666666666666665, 1.1666666666666665];3.45;[44, 6];[0.5833334084877364, 0.5833334084877364];3.45;[44, 6];[1.1666666666666665, 1.1666666666666665];3.45;[44, 6];[0.5833334084877364, 0.5833334084877364];3.45;[44, 6];[1.1666666666666665, 1.1666666666666665];3.45;[44, 6];[0.5833334084877364, 0.5833334084877364];3.45;[44, 6];[1.1666666666666665, 1.1666666666666665];3.45;[44, 6];[0.5833334084877364, 0.5833334084877364];3.45
7;[31, 6];[0.9333333333333333, 0.9333333333333333];5.17;[31, 6];[0.38103168557587397, 0.38103168557587397];5.17;[31, 6, 7];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[31, 6, 7];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[31, 6, 7];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[31, 6, 7];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17;[31, 6, 7];[0.9333333333333333, 0.9333333333333333, 0.9333333333333333];5.17;[31, 6, 7];[0.38103168557587397, 0.38103168557587397, 0.38103168557587397];5.17
8;[7, 8];[0.7555555555555555, 0.7555555555555555];8.62;[7, 8];[0.23892777385624928, 0.23892777385624928];8.62;[7, 8, 9];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[7, 8, 9];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[7, 8, 9, 10];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[7, 8, 9, 10];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62;[7, 8, 9, 10, 26];[0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555, 0.7555555555555555];8.62;[7, 8, 9, 10, 26];[0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928, 0.23892777385624928];8.62
9;[11, 39];[1.1666666666666665, 1.1666666666666665];3.45;[11, 39];[0.5833334084877364, 0.5833334084877364];3.45;[11, 39];[1.1666666666666665, 1.1666666666666665];3.45;[11, 39];[0.5833334084877364, 0.5833334084877364];3.45;[11, 39];[1.1666666666666665, 1.1666666666666665];3.45;[11, 39];[0.5833334084877364, 0.5833334084877364];3.45;[11, 39];[1.1666666666666665, 1.1666666666666665];3.45;[11, 39];[0.5833334084877364, 0.5833334084877364];3.45
10;[2, 3];[0.5284743991640544, 0.5284743991640544];75.86;[2, 3];[0.05633539848152513, 0.05633539848152513];75.86;[2, 3, 4];[0.5284743991640544, 0.5284743991640544, 0.5284743991640544];75.86;[2, 3, 4];[0.05633539848152513, 0.05633539848152513, 0.05633539848152513];75.86;[2, 3, 4, 5];[0.5284743991640544, 0.5284743991640544, 0.5284743991640544, 0.5284743991640544];75.86;[2, 3, 4, 5];[0.05633539848152513, 0.05633539848152513, 0.05633539848152513, 0.05633539848152513];75.86;[2, 3, 4, 5, 6];[0.5284743991640544, 0.5284743991640544, 0.5284743991640544, 0.5284743991640544, 0.5284743991640544];75.86;[2, 3, 4, 5, 6];[0.05633539848152513, 0.05633539848152513, 0.05633539848152513, 0.05633539848152513, 0.05633539848152513];75.86
