Contaminant(Node);Sensor2(Link);Coverage2;Sensor3(Link);Coverage3
1;[13, 1];24;[13, 1, 2];28
2;[3, 4];32;[3, 4, 2];33
3;[4, 5];30;[4, 5, 3];34
4;[5, 4];30;[5, 4, 19];30
5;[5, 1];28;[5, 1, 2];32
6;[6, 1];31;[6, 1, 2];33
7;[7, 6];26;[7, 6, 31];26
8;[9, 8];24;[9, 8, 10];25
9;[11, 1];24;[11, 1, 2];28
10;[21, 3];28;[21, 3, 16];28
11;[27, 4];26;[27, 4, 17];26
12;[5, 19];22;[5, 19, 32];25
13;[32, 1];26;[32, 1, 2];28
14;[33, 32];14;[33, 32, 6];27
15;[35, 30];10;[35, 30, 31];11
16;[36, 9];19;[36, 9, 10];20
17;[2, 3];30;[2, 3, 1];32
18;[20, 2];23;[20, 2, 3];30
19;[5, 18];22;[5, 18, 19];22
20;[34, 32];14;[34, 32, 33];14
21;[6, 1];31;[6, 1, 2];33
22;[6, 31];25;[6, 31, 7];26
23;[8, 7];23;[8, 7, 6];28
24;[8, 7];23;[8, 7, 6];28
25;[8, 9];24;[8, 9, 10];25
26;[29, 30];10;[29, 30, 31];11
27;[24, 25];10;[24, 25, 26];11
28;[10, 1];24;[10, 1, 2];28
29;[37, 1];25;[37, 1, 2];29
30;[1, 2];28;[1, 2, 3];32
31;[15, 16];5;[15, 16, 20];6
32;[23, 24];9;[23, 24, 25];10
33;[23, 24];9;[23, 24, 25];10
34;[23, 24];9;[23, 24, 25];10
35;[1, 2];28;[1, 2, 3];32
36;[12, 11];4;[12, 11, 1];24
37;[1, 2];28;[1, 2, 12];28
