Node Contaminant;Jumlah Sensor;Algorithm;Sensor Placement;Score
1;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
1;2;Greedy;[13, 1];[1.0, 0.9672131147540983]
1;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
1;3;Greedy;[13, 1, 2];[1.0, 0.9672131147540983, 0.9672131147540983]
1;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
1;4;Greedy;[13, 1, 2, 11];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
1;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.0, 0.0, 0.0, 0.0]
1;5;Greedy;[13, 1, 2, 11, 12];[1.0, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983, 0.9672131147540983]
2;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
2;2;Greedy;[3, 4];[1.0, 0.9333333333333333]
2;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
2;3;Greedy;[3, 4, 2];[1.0, 0.9333333333333333, 0.11666666666666667]
2;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
2;4;Greedy;[3, 4, 2, 1];[1.0, 0.9333333333333333, 0.11666666666666667, 0.0]
2;5;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
2;5;Greedy;[3, 4, 2, 1, 5];[1.0, 0.9333333333333333, 0.11666666666666667, 0.0, 0.0]
3;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
3;2;Greedy;[4, 5];[1.0, 0.7333333333333333]
3;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
3;3;Greedy;[4, 5, 3];[1.0, 0.7333333333333333, 0.05]
3;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
3;4;Greedy;[4, 5, 3, 1];[1.0, 0.7333333333333333, 0.05, 0.0]
3;5;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
3;5;Greedy;[4, 5, 3, 1, 2];[1.0, 0.7333333333333333, 0.05, 0.0, 0.0]
4;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
4;2;Greedy;[5, 4];[1.0, 0.26666666666666666]
4;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
4;3;Greedy;[5, 4, 19];[1.0, 0.26666666666666666, 0.016666666666666666]
4;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
4;4;Greedy;[5, 4, 19, 1];[1.0, 0.26666666666666666, 0.016666666666666666, 0.0]
4;5;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
4;5;Greedy;[5, 4, 19, 1, 2];[1.0, 0.26666666666666666, 0.016666666666666666, 0.0, 0.0]
5;2;Greedy+ev+bw;[1, 2];[0.0, 0.0]
5;2;Greedy;[5, 1];[1.0, 0.0]
5;3;Greedy+ev+bw;[1, 2];[0.0, 0.0]
5;3;Greedy;[5, 1, 2];[1.0, 0.0, 0.0]
5;4;Greedy+ev+bw;[1, 2];[0.0, 0.0]
5;4;Greedy;[5, 1, 2, 3];[1.0, 0.0, 0.0, 0.0]
5;5;Greedy+ev+bw;[1, 2];[0.0, 0.0]
5;5;Greedy;[5, 1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0, 0.0]
6;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
6;2;Greedy;[6, 44];[1.0, 0.01639344262295082]
6;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
6;3;Greedy;[6, 44, 1];[1.0, 0.01639344262295082, 0.0]
6;4;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
6;4;Greedy;[6, 44, 1, 2];[1.0, 0.01639344262295082, 0.0, 0.0]
6;5;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
6;5;Greedy;[6, 44, 1, 2, 3];[1.0, 0.01639344262295082, 0.0, 0.0, 0.0]
7;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
7;2;Greedy;[7, 6];[1.0, 0.9672131147540983]
7;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
7;3;Greedy;[7, 6, 31];[1.0, 0.9672131147540983, 0.03278688524590164]
7;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
7;4;Greedy;[7, 6, 31, 1];[1.0, 0.9672131147540983, 0.03278688524590164, 0.0]
7;5;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
7;5;Greedy;[7, 6, 31, 1, 2];[1.0, 0.9672131147540983, 0.03278688524590164, 0.0, 0.0]
8;2;Greedy+ev+bw;[1, 2];[1.0, 0.0]
8;2;Greedy;[9, 8];[1.0, 0.9672131147540983]
8;3;Greedy+ev+bw;[1, 2, 3];[1.0, 0.0, 0.0]
8;3;Greedy;[9, 8, 10];[1.0, 0.9672131147540983, 0.9672131147540983]
8;4;Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0]
