Node Contaminant;Jumlah Sensor;Algorithm;Sensor Placement;Score
1;2;Greedy+ev+bw;[1, 2];[0.9730098702643195, 0.009051081978538936]
1;2;Greedy;[13, 1];[61, 59]
1;3;Greedy+ev+bw;[1, 2, 3];[0.9730098702643195, 0.009051081978538936, 0.009051081978538936]
1;3;Greedy;[13, 1, 2];[61, 59, 59]
1;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9730098702643195, 0.009051081978538936, 0.009051081978538936, 0.009051081978538936]
1;4;Greedy;[13, 1, 2, 11];[61, 59, 59, 59]
1;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9730098702643195, 0.009051081978538936, 0.009051081978538936, 0.009051081978538936, 0.009051081978538936]
1;5;Greedy;[13, 1, 2, 11, 12];[61, 59, 59, 59, 59]
2;2;Greedy+ev+bw;[1, 2];[0.9707106878039843, 0.04082482345455793]
2;2;Greedy;[3, 4];[60, 56]
2;3;Greedy+ev+bw;[1, 2, 3];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793]
2;3;Greedy;[3, 4, 2];[60, 56, 7]
2;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793, 0.04082482345455793]
2;4;Greedy;[3, 4, 2, 1];[60, 56, 7, 0]
2;5;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793, 0.04082482345455793]
2;5;Greedy;[3, 4, 2, 1, 5];[60, 56, 7, 0, 0]
3;2;Greedy+ev+bw;[1, 2];[0.9707106878039843, 0.04082482345455793]
3;2;Greedy;[4, 5];[60, 44]
3;3;Greedy+ev+bw;[1, 2, 3];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793]
3;3;Greedy;[4, 5, 3];[60, 44, 3]
3;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793, 0.04082482345455793]
3;4;Greedy;[4, 5, 3, 1];[60, 44, 3, 0]
3;5;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793, 0.04082482345455793]
3;5;Greedy;[4, 5, 3, 1, 2];[60, 44, 3, 0, 0]
4;2;Greedy+ev+bw;[1, 2];[0.9707106878039843, 0.04082482345455793]
4;2;Greedy;[5, 4];[60, 16]
4;3;Greedy+ev+bw;[1, 2, 3];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793]
4;3;Greedy;[5, 4, 19];[60, 16, 1]
4;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793, 0.04082482345455793]
4;4;Greedy;[5, 4, 19, 1];[60, 16, 1, 0]
4;5;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793, 0.04082482345455793]
4;5;Greedy;[5, 4, 19, 1, 2];[60, 16, 1, 0, 0]
5;2;Greedy+ev+bw;[1, 2];[0.07071067811865477, 0.07071067811865477]
5;2;Greedy;[5, 1];[2, 0]
5;3;Greedy+ev+bw;[1, 2];[0.07071067811865477, 0.07071067811865477]
5;3;Greedy;[5, 1, 2];[2, 0, 0]
5;4;Greedy+ev+bw;[1, 2];[0.07071067811865477, 0.07071067811865477]
5;4;Greedy;[5, 1, 2, 3];[2, 0, 0, 0]
5;5;Greedy+ev+bw;[1, 2];[0.07071067811865477, 0.07071067811865477]
5;5;Greedy;[5, 1, 2, 3, 4];[2, 0, 0, 0, 0]
6;2;Greedy+ev+bw;[1, 2];[0.9707106690085642, 0.050000006441805994]
6;2;Greedy;[6, 44];[61, 1]
6;3;Greedy+ev+bw;[1, 2, 3];[0.9707106690085642, 0.050000006441805994, 0.050000006441805994]
6;3;Greedy;[6, 44, 1];[61, 1, 0]
6;4;Greedy+ev+bw;[1, 2, 3];[0.9707106690085642, 0.050000006441805994, 0.050000006441805994]
6;4;Greedy;[6, 44, 1, 2];[61, 1, 0, 0]
6;5;Greedy+ev+bw;[1, 2, 3];[0.9707106690085642, 0.050000006441805994, 0.050000006441805994]
6;5;Greedy;[6, 44, 1, 2, 3];[61, 1, 0, 0, 0]
7;2;Greedy+ev+bw;[1, 2];[0.9707106878039843, 0.04082482345455793]
7;2;Greedy;[7, 6];[61, 59]
7;3;Greedy+ev+bw;[1, 2, 3];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793]
7;3;Greedy;[7, 6, 31];[61, 59, 2]
7;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793, 0.04082482345455793]
7;4;Greedy;[7, 6, 31, 1];[61, 59, 2, 0]
7;5;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106878039843, 0.04082482345455793, 0.04082482345455793, 0.04082482345455793]
7;5;Greedy;[7, 6, 31, 1, 2];[61, 59, 2, 0, 0]
8;2;Greedy+ev+bw;[1, 2];[0.9707106401123269, 0.03162279359862123]
8;2;Greedy;[9, 8];[61, 59]
8;3;Greedy+ev+bw;[1, 2, 3];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123]
8;3;Greedy;[9, 8, 10];[61, 59, 59]
8;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123]
8;4;Greedy;[9, 8, 10, 7];[61, 59, 59, 55]
8;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123]
8;5;Greedy;[9, 8, 10, 7, 26];[61, 59, 59, 55, 1]
9;2;Greedy+ev+bw;[1, 2];[0.9707106690085642, 0.050000006441805994]
9;2;Greedy;[11, 39];[61, 60]
9;3;Greedy+ev+bw;[1, 2, 3];[0.9707106690085642, 0.050000006441805994, 0.050000006441805994]
9;3;Greedy;[11, 39, 1];[61, 60, 0]
9;4;Greedy+ev+bw;[1, 2, 3];[0.9707106690085642, 0.050000006441805994, 0.050000006441805994]
9;4;Greedy;[11, 39, 1, 2];[61, 60, 0, 0]
9;5;Greedy+ev+bw;[1, 2, 3];[0.9707106690085642, 0.050000006441805994, 0.050000006441805994]
9;5;Greedy;[11, 39, 1, 2, 3];[61, 60, 0, 0, 0]
10;2;Greedy+ev+bw;[1, 2];[0.9707108811507331, 0.010660005209455176]
10;2;Greedy;[21, 3];[61, 59]
10;3;Greedy+ev+bw;[1, 2, 3];[0.9707108811507331, 0.010660005209455176, 0.010660005209455176]
10;3;Greedy;[21, 3, 16];[61, 59, 59]
10;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707108811507331, 0.010660005209455176, 0.010660005209455176, 0.010660005209455176]
10;4;Greedy;[21, 3, 16, 17];[61, 59, 59, 59]
10;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707108811507331, 0.010660005209455176, 0.010660005209455176, 0.010660005209455176, 0.010660005209455176]
10;5;Greedy;[21, 3, 16, 17, 20];[61, 59, 59, 59, 59]
11;2;Greedy+ev+bw;[1, 2];[0.9707108420130904, 0.01414210284476785]
11;2;Greedy;[27, 4];[61, 59]
11;3;Greedy+ev+bw;[1, 2, 3];[0.9707108420130904, 0.01414210284476785, 0.01414210284476785]
11;3;Greedy;[27, 4, 17];[61, 59, 59]
11;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707108420130904, 0.01414210284476785, 0.01414210284476785, 0.01414210284476785]
11;4;Greedy;[27, 4, 17, 18];[61, 59, 59, 59]
11;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707108420130904, 0.01414210284476785, 0.01414210284476785, 0.01414210284476785, 0.01414210284476785]
11;5;Greedy;[27, 4, 17, 18, 28];[61, 59, 59, 59, 59]
12;2;Greedy+ev+bw;[1, 2];[0.9707106401123269, 0.03162279359862123]
12;2;Greedy;[5, 19];[60, 59]
12;3;Greedy+ev+bw;[1, 2, 3];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123]
12;3;Greedy;[5, 19, 32];[60, 59, 59]
12;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123]
12;4;Greedy;[5, 19, 32, 41];[60, 59, 59, 59]
12;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123]
12;5;Greedy;[5, 19, 32, 41, 18];[60, 59, 59, 59, 1]
13;2;Greedy+ev+bw;[1, 2];[0.9707106690085642, 0.050000006441805994]
13;2;Greedy;[32, 41];[61, 1]
13;3;Greedy+ev+bw;[1, 2, 3];[0.9707106690085642, 0.050000006441805994, 0.050000006441805994]
13;3;Greedy;[32, 41, 1];[61, 1, 0]
13;4;Greedy+ev+bw;[1, 2, 3];[0.9707106690085642, 0.050000006441805994, 0.050000006441805994]
13;4;Greedy;[32, 41, 1, 2];[61, 1, 0, 0]
13;5;Greedy+ev+bw;[1, 2, 3];[0.9707106690085642, 0.050000006441805994, 0.050000006441805994]
13;5;Greedy;[32, 41, 1, 2, 3];[61, 1, 0, 0, 0]
14;2;Greedy+ev+bw;[1, 2];[0.9707106401123269, 0.03162279359862123]
14;2;Greedy;[33, 32];[61, 59]
14;3;Greedy+ev+bw;[1, 2, 3];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123]
14;3;Greedy;[33, 32, 43];[61, 59, 59]
14;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123]
14;4;Greedy;[33, 32, 43, 44];[61, 59, 59, 59]
14;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123]
14;5;Greedy;[33, 32, 43, 44, 6];[61, 59, 59, 59, 58]
15;2;Greedy+ev+bw;[1, 2];[0.970710754586259, 0.01825739883963369]
15;2;Greedy;[35, 30];[61, 59]
15;3;Greedy+ev+bw;[1, 2, 3];[0.970710754586259, 0.01825739883963369, 0.01825739883963369]
15;3;Greedy;[35, 30, 31];[61, 59, 59]
15;4;Greedy+ev+bw;[1, 2, 3, 4];[0.970710754586259, 0.01825739883963369, 0.01825739883963369, 0.01825739883963369]
15;4;Greedy;[35, 30, 31, 32];[61, 59, 59, 59]
15;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.970710754586259, 0.01825739883963369, 0.01825739883963369, 0.01825739883963369, 0.01825739883963369]
15;5;Greedy;[35, 30, 31, 32, 33];[61, 59, 59, 59, 59]
16;2;Greedy+ev+bw;[1, 2];[0.9707105983998947, 0.018898244956172167]
16;2;Greedy;[36, 9];[61, 59]
16;3;Greedy+ev+bw;[1, 2, 3];[0.9707105983998947, 0.018898244956172167, 0.018898244956172167]
16;3;Greedy;[36, 9, 10];[61, 59, 59]
16;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707105983998947, 0.018898244956172167, 0.018898244956172167, 0.018898244956172167]
16;4;Greedy;[36, 9, 10, 25];[61, 59, 59, 59]
16;5;Greedy+ev+bw;[1, 2, 3, 4, 5];[0.9707105983998947, 0.018898244956172167, 0.018898244956172167, 0.018898244956172167, 0.018898244956172167]
16;5;Greedy;[36, 9, 10, 25, 26];[61, 59, 59, 59, 59]
17;2;Greedy+ev+bw;[1, 2];[0.9816496580927726, 0.0408248290463863]
17;2;Greedy;[2, 3];[60, 52]
17;3;Greedy+ev+bw;[1, 2, 3];[0.9816496580927726, 0.0408248290463863, 0.0408248290463863]
17;3;Greedy;[2, 3, 1];[60, 52, 1]
17;4;Greedy+ev+bw;[1, 2, 3];[0.9816496580927726, 0.0408248290463863, 0.0408248290463863]
17;4;Greedy;[2, 3, 1, 4];[60, 52, 1, 0]
17;5;Greedy+ev+bw;[1, 2, 3];[0.9816496580927726, 0.0408248290463863, 0.0408248290463863]
17;5;Greedy;[2, 3, 1, 4, 5];[60, 52, 1, 0, 0]
18;2;Greedy+ev+bw;[1, 2];[0.9707106401123269, 0.03162279359862123]
18;2;Greedy;[20, 40];[61, 60]
18;3;Greedy+ev+bw;[1, 2, 3];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123]
18;3;Greedy;[20, 40, 2];[61, 60, 59]
18;4;Greedy+ev+bw;[1, 2, 3, 4];[0.9707106401123269, 0.03162279359862123, 0.03162279359862123, 0.03162279359862123]
18;4;Greedy;[20, 40, 2, 3];[61, 60, 59, 59]
