Node Contaminant;Jumlah Sensor;Algorithm;Sensor Placement;Score
1;2;Greedy;[13, 1];[1.0, 0.9672131147540983]
1;2;Greedy+ev+bw;[1, 2];[1.0, 0.06198533120091212]
1;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.06198533120091212]
2;2;Greedy;[3, 4];[1.0, 0.9333333333333333]
2;2;Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338]
2;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338]
3;2;Greedy;[4, 5];[1.0, 0.7333333333333333]
3;2;Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338]
3;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338]
4;2;Greedy;[5, 4];[1.0, 0.26666666666666666]
4;2;Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338]
4;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338]
5;2;Greedy;[5, 1];[1.0, 0.0]
5;2;Greedy+ev+bw;[1, 2];[0.0, 0.0]
5;2;Heurastic:Greedy+ev+bw;[1, 2];[0.0, 0.0]
6;2;Greedy;[6, 44];[1.0, 0.01639344262295082]
6;2;Greedy+ev+bw;[1, 2];[1.0, 0.35355348169418527]
6;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.35355348169418527]
7;2;Greedy;[7, 6];[1.0, 0.9672131147540983]
7;2;Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338]
7;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338]
8;2;Greedy;[9, 8];[1.0, 0.9672131147540983]
8;2;Greedy+ev+bw;[1, 2];[1.0, 0.22360703812316718]
8;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.22360703812316718]
9;2;Greedy;[11, 39];[1.0, 0.9836065573770492]
9;2;Greedy+ev+bw;[1, 2];[1.0, 0.35355348169418527]
9;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.35355348169418527]
10;2;Greedy;[21, 3];[1.0, 0.9672131147540983]
10;2;Greedy+ev+bw;[1, 2];[1.0, 0.07537740327921696]
10;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.07537740327921696]
11;2;Greedy;[27, 4];[1.0, 0.9672131147540983]
11;2;Greedy+ev+bw;[1, 2];[1.0, 0.0999995364370699]
11;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.0999995364370699]
12;2;Greedy;[5, 19];[1.0, 0.9833333333333333]
12;2;Greedy+ev+bw;[1, 2];[1.0, 0.22360703812316718]
12;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.22360703812316718]
13;2;Greedy;[32, 41];[1.0, 0.01639344262295082]
13;2;Greedy+ev+bw;[1, 2];[1.0, 0.35355348169418527]
13;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.35355348169418527]
14;2;Greedy;[33, 32];[1.0, 0.9672131147540983]
14;2;Greedy+ev+bw;[1, 2];[1.0, 0.22360703812316718]
14;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.22360703812316718]
15;2;Greedy;[35, 30];[1.0, 0.9672131147540983]
15;2;Greedy+ev+bw;[1, 2];[1.0, 0.1290991656535201]
15;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.1290991656535201]
16;2;Greedy;[36, 9];[1.0, 0.9672131147540983]
16;2;Greedy+ev+bw;[1, 2];[1.0, 0.13363092226497347]
16;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.13363092226497347]
17;2;Greedy;[2, 3];[1.0, 0.8666666666666667]
17;2;Greedy+ev+bw;[1, 2];[1.0, 0.24999999999999994]
17;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.24999999999999994]
18;2;Greedy;[20, 40];[1.0, 0.9836065573770492]
18;2;Greedy+ev+bw;[1, 2];[1.0, 0.22360703812316718]
18;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.22360703812316718]
19;2;Greedy;[5, 18];[1.0, 0.9833333333333333]
19;2;Greedy+ev+bw;[1, 2];[1.0, 0.1443379020117609]
19;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.1443379020117609]
20;2;Greedy;[34, 32];[1.0, 0.9672131147540983]
20;2;Greedy+ev+bw;[1, 2];[1.0, 0.18898200750235772]
20;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.18898200750235772]
21;2;Greedy;[6, 44];[1.0, 0.9833333333333333]
21;2;Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338]
21;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338]
22;2;Greedy;[45, 6];[1.0, 0.9672131147540983]
22;2;Greedy+ev+bw;[1, 2];[1.0, 0.16666634877553102]
22;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.16666634877553102]
23;2;Greedy;[47, 8];[1.0, 0.9672131147540983]
23;2;Greedy+ev+bw;[1, 2];[1.0, 0.22360703812316718]
23;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.22360703812316718]
24;2;Greedy;[8, 7];[1.0, 0.9672131147540983]
24;2;Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338]
24;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338]
