Node Contaminant;Jumlah Sensor;Algorithm;Sensor Placement;Score;Time estimated
1;2;Greedy;[13, 1];[1.0, 0.9933554817275747];[0, 1]
1;3;Greedy;[13, 1, 12];[1.0, 0.9933554817275747, 0.9933554817275747];[0, 1, 1]
1;4;Greedy;[13, 1, 12, 14];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9933554817275747];[0, 1, 1, 1]
1;5;Greedy;[13, 1, 12, 14, 57];[1.0, 0.9933554817275747, 0.9933554817275747, 0.9933554817275747, 0.9933554817275747];[0, 1, 1, 1, 1]
2;2;Greedy;[3, 4];[1.0, 0.94];[1, 18]
2;3;Greedy;[3, 4, 2];[1.0, 0.94, 0.11666666666666667];[1, 18, 0]
2;4;Greedy;[3, 4, 2, 1];[1.0, 0.94, 0.11666666666666667, 0.0];[1, 18, 0, None]
2;5;Greedy;[3, 4, 2, 1, 5];[1.0, 0.94, 0.11666666666666667, 0.0, 0.0];[1, 18, 0, None, None]
3;2;Greedy;[4, 5];[1.0, 0.7333333333333333];[1, 80]
3;3;Greedy;[4, 5, 3];[1.0, 0.7333333333333333, 0.03666666666666667];[1, 80, 0]
3;4;Greedy;[4, 5, 3, 1];[1.0, 0.7333333333333333, 0.03666666666666667, 0.0];[1, 80, 0, None]
3;5;Greedy;[4, 5, 3, 1, 2];[1.0, 0.7333333333333333, 0.03666666666666667, 0.0, 0.0];[1, 80, 0, None, None]
4;2;Greedy;[5, 4];[1.0, 0.26];[1, 0]
4;3;Greedy;[5, 4, 19];[1.0, 0.26, 0.0033333333333333335];[1, 0, 0]
4;4;Greedy;[5, 4, 19, 1];[1.0, 0.26, 0.0033333333333333335, 0.0];[1, 0, 0, None]
4;5;Greedy;[5, 4, 19, 1, 2];[1.0, 0.26, 0.0033333333333333335, 0.0, 0.0];[1, 0, 0, None, None]
5;2;Greedy;[5, 1];[1.0, 0.0];[0, None]
5;3;Greedy;[5, 1, 2];[1.0, 0.0, 0.0];[0, None, None]
5;4;Greedy;[5, 1, 2, 3];[1.0, 0.0, 0.0, 0.0];[0, None, None, None]
5;5;Greedy;[5, 1, 2, 3, 4];[1.0, 0.0, 0.0, 0.0, 0.0];[0, None, None, None, None]
6;2;Greedy;[6, 44];[1.0, 0.016611295681063124];[0, 0]
6;3;Greedy;[6, 44, 1];[1.0, 0.016611295681063124, 0.0];[0, 0, None]
6;4;Greedy;[6, 44, 1, 2];[1.0, 0.016611295681063124, 0.0, 0.0];[0, 0, None, None]
6;5;Greedy;[6, 44, 1, 2, 3];[1.0, 0.016611295681063124, 0.0, 0.0, 0.0];[0, 0, None, None, None]
7;2;Greedy;[7, 6];[1.0, 0.9900332225913622];[0, 2]
7;3;Greedy;[7, 6, 31];[1.0, 0.9900332225913622, 0.03322259136212625];[0, 2, 0]
7;4;Greedy;[7, 6, 31, 1];[1.0, 0.9900332225913622, 0.03322259136212625, 0.0];[0, 2, 0, None]
