Node Contaminant;Jumlah Sensor;Algorithm;Sensor Placement;Score;Time estimated
1;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.06198533120091212];[1, 3]
1;3;Heurastic:Greedy+ev+bw;[1, 2, 3];[1.0, 0.06198533120091212, 0.06198533120091212];[1, 3, 10]
1;4;Heurastic:Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.06198533120091212, 0.06198533120091212, 0.06198533120091212];[1, 3, 10, 12]
1;5;Heurastic:Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.06198533120091212, 0.06198533120091212, 0.06198533120091212, 0.06198533120091212];[1, 3, 10, 12, 14]
2;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338];[None, 0]
2;3;Heurastic:Greedy+ev+bw;[1, 2, 3];[1.0, 0.2886750555144338, 0.2886750555144338];[None, 0, 1]
2;4;Heurastic:Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.2886750555144338, 0.2886750555144338, 0.2886750555144338];[None, 0, 1, 18]
2;5;Heurastic:Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.2886750555144338, 0.2886750555144338, 0.2886750555144338];[None, 0, 1, 18]
3;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338];[None, None]
3;3;Heurastic:Greedy+ev+bw;[1, 2, 3];[1.0, 0.2886750555144338, 0.2886750555144338];[None, None, 0]
3;4;Heurastic:Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.2886750555144338, 0.2886750555144338, 0.2886750555144338];[None, None, 0, 1]
3;5;Heurastic:Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.2886750555144338, 0.2886750555144338, 0.2886750555144338];[None, None, 0, 1]
4;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338];[None, None]
4;3;Heurastic:Greedy+ev+bw;[1, 2, 3];[1.0, 0.2886750555144338, 0.2886750555144338];[None, None, None]
4;4;Heurastic:Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.2886750555144338, 0.2886750555144338, 0.2886750555144338];[None, None, None, 0]
4;5;Heurastic:Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.2886750555144338, 0.2886750555144338, 0.2886750555144338];[None, None, None, 0]
5;2;Heurastic:Greedy+ev+bw;[1, 2];[0.0, 0.0];[None, None]
5;3;Heurastic:Greedy+ev+bw;[1, 2];[0.0, 0.0];[None, None]
5;4;Heurastic:Greedy+ev+bw;[1, 2];[0.0, 0.0];[None, None]
5;5;Heurastic:Greedy+ev+bw;[1, 2];[0.0, 0.0];[None, None]
6;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.35355348169418527];[None, None]
6;3;Heurastic:Greedy+ev+bw;[1, 2, 3];[1.0, 0.35355348169418527, 0.35355348169418527];[None, None, None]
6;4;Heurastic:Greedy+ev+bw;[1, 2, 3];[1.0, 0.35355348169418527, 0.35355348169418527];[None, None, None]
6;5;Heurastic:Greedy+ev+bw;[1, 2, 3];[1.0, 0.35355348169418527, 0.35355348169418527];[None, None, None]
7;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.2886750555144338];[None, None]
7;3;Heurastic:Greedy+ev+bw;[1, 2, 3];[1.0, 0.2886750555144338, 0.2886750555144338];[None, None, None]
7;4;Heurastic:Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.2886750555144338, 0.2886750555144338, 0.2886750555144338];[None, None, None, None]
7;5;Heurastic:Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.2886750555144338, 0.2886750555144338, 0.2886750555144338];[None, None, None, None]
8;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.22360703812316718];[None, None]
8;3;Heurastic:Greedy+ev+bw;[1, 2, 3];[1.0, 0.22360703812316718, 0.22360703812316718];[None, None, None]
8;4;Heurastic:Greedy+ev+bw;[1, 2, 3, 4];[1.0, 0.22360703812316718, 0.22360703812316718, 0.22360703812316718];[None, None, None, None]
8;5;Heurastic:Greedy+ev+bw;[1, 2, 3, 4, 5];[1.0, 0.22360703812316718, 0.22360703812316718, 0.22360703812316718, 0.22360703812316718];[None, None, None, None, None]
9;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.35355348169418527];[None, None]
9;3;Heurastic:Greedy+ev+bw;[1, 2, 3];[1.0, 0.35355348169418527, 0.35355348169418527];[None, None, None]
9;4;Heurastic:Greedy+ev+bw;[1, 2, 3];[1.0, 0.35355348169418527, 0.35355348169418527];[None, None, None]
9;5;Heurastic:Greedy+ev+bw;[1, 2, 3];[1.0, 0.35355348169418527, 0.35355348169418527];[None, None, None]
10;2;Heurastic:Greedy+ev+bw;[1, 2];[1.0, 0.07537740327921696];[None, 18]
10;3;Heurastic:Greedy+ev+bw;[1, 2, 3];[1.0, 0.07537740327921696, 0.07537740327921696];[None, 18, 4]
