pipeID,length,diameter,roughnes
1,478.0,150.0,130.0
2,830.0,150.0,130.0
3,1030.0,250.0,130.0
4,679.0,150.0,130.0
5,830.0,150.0,130.0
6,508.0,200.0,130.0
7,1416.0,300.0,130.0
8,593.0,150.0,130.0
9,553.0,150.0,130.0
10,505.0,150.0,130.0
11,454.0,150.0,130.0
12,1095.0,150.0,130.0
13,392.0,150.0,130.0
14,1124.0,150.0,130.0
15,1025.0,200.0,130.0
16,1125.0,450.0,130.0
17,1003.0,150.0,130.0
18,954.0,200.0,130.0
19,1200.0,500.0,130.0
20,435.0,400.0,130.0
21,543.0,300.0,130.0
22,740.0,250.0,130.0
23,988.0,400.0,130.0
24,1859.0,400.0,130.0
25,405.0,150.0,130.0
26,467.0,300.0,130.0
27,543.0,150.0,130.0
28,721.0,150.0,130.0
29,882.0,150.0,130.0
30,966.0,150.0,130.0
31,635.0,150.0,130.0
32,2013.0,700.0,130.0
33,1000.0,150.0,130.0
34,1000.0,150.0,130.0
