NodeID;node_step0;node_step5;node_step10;node_step15;node_step20;node_step25;node_step30;node_step35;node_step40;node_step45;node_step50;node_step55;node_step60;node_step65;node_step70;node_step75;node_step80;node_step85;node_step90;node_step95;node_step100;node_step105;node_step110;node_step115;node_step120;node_step125;node_step130;node_step135;node_step140;node_step145;node_step150;node_step155;node_step160;node_step165;node_step170;node_step175;node_step180;node_step185;node_step190;node_step195;node_step200;node_step205;node_step210;node_step215;node_step220;node_step225;node_step230;node_step235;node_step240;node_step245;node_step250;node_step255;node_step260;node_step265;node_step270;node_step275;node_step280;node_step285;node_step290;node_step295;node_step300
1;[1];[1, 18];[1, 18];[1, 18];[1, 18];[1, 18];[1, 18];[1, 18];[1, 18];[1, 18];[1, 18];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117];[1, 18, 116, 117]
2;[2];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 35, 108, 109];[2, 31, 35, 108, 109];[2, 31, 35, 108, 109];[2, 31, 35, 108, 109];[2, 24, 31, 35, 108, 109];[2, 24, 31, 35, 108, 109];[24, 31, 35, 108, 109];[24, 31, 35, 108, 109];[24, 31, 32, 35, 108, 109];[24, 31, 32, 35, 108, 109];[24, 31, 32, 35, 108, 109];[24, 31, 32, 35, 108, 109];[24, 31, 32, 35, 108, 109];[24, 31, 32, 35, 108, 109];[24, 31, 32, 35, 108, 109];[24, 31, 32, 35, 108, 109];[24, 31, 32, 35, 108, 109];[24, 31, 32, 35, 108, 109];[24, 31, 32, 35, 54, 108, 109];[24, 31, 32, 35, 54, 108, 109];[31, 32, 35, 54, 108, 109];[31, 32, 35, 54, 108, 109];[31, 32, 35, 54, 59, 108, 109];[31, 32, 35, 54, 59, 108, 109];[31, 32, 35, 54, 59, 108, 109];[31, 32, 35, 54, 57, 59, 108, 109];[31, 32, 35, 54, 57, 59, 108, 109];[31, 32, 35, 54, 55, 57, 59, 108, 109];[31, 32, 35, 54, 55, 57, 59, 108, 109];[31, 32, 35, 54, 55, 57, 59, 108, 109];[31, 32, 35, 54, 55, 57, 59, 108, 109];[31, 32, 35, 54, 55, 57, 59, 69, 108, 109];[31, 32, 35, 54, 55, 57, 59, 69, 108, 109];[31, 32, 35, 55, 57, 59, 69, 108, 109];[31, 32, 35, 55, 57, 59, 69, 108, 109];[31, 32, 35, 55, 57, 59, 69, 108, 109];[31, 32, 33, 35, 55, 57, 59, 69, 108, 109];[31, 32, 33, 35, 55, 57, 59, 69, 108, 109];[31, 32, 33, 35, 55, 57, 59, 69, 108, 109];[31, 32, 33, 35, 55, 59, 69, 108, 109];[31, 32, 33, 35, 55, 59, 69, 108, 109]
3;[3];[1, 3];[1, 3];[1, 3];[1, 3];[1, 3];[1, 3];[1, 3, 18];[1, 3, 18];[1, 3, 18];[1, 3, 18];[1, 3, 18];[1, 3, 18];[1, 3, 18];[1, 3, 18];[1, 3, 18];[1, 3, 18];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117];[1, 3, 18, 116, 117]
4;[4];[3, 4];[3, 4];[3, 4];[3, 4];[3, 4];[3, 4];[3, 4];[3, 4];[3, 4];[3, 4];[3, 4];[1, 3, 4];[1, 3, 4];[1, 3, 4];[1, 3, 4];[1, 3, 4];[1, 3, 4];[1, 3, 4];[1, 3, 4, 18];[1, 3, 4, 18];[1, 3, 4, 18];[1, 3, 4, 18];[1, 3, 4, 18];[1, 3, 4, 18];[1, 3, 4, 18];[1, 3, 4, 18];[1, 3, 4, 18];[1, 3, 4, 18];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117];[1, 3, 4, 18, 116, 117]
5;[5];[1, 4, 5];[1, 4, 5];[1, 4, 5];[1, 4, 5];[1, 4, 5];[1, 4, 5];[1, 4, 5, 18];[1, 4, 5, 18];[1, 4, 5, 18];[1, 4, 5, 18];[1, 4, 5, 18];[1, 4, 5, 18];[1, 4, 5, 18];[1, 4, 5, 18];[1, 4, 5, 18];[1, 4, 5, 18];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117];[1, 3, 4, 5, 18, 116, 117]
6;[6];[6];[6];[6];[6];[6];[6];[6];[6];[6];[6];[6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[5, 6];[4, 5, 6];[4, 5, 6];[4, 5, 6]
7;[7];[6, 7];[6, 7];[6, 7];[6, 7];[6, 7];[6, 7];[6, 7];[6, 7];[6, 7];[6, 7];[6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[5, 6, 7];[4, 5, 6, 7];[4, 5, 6, 7];[4, 5, 6, 7]
8;[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8];[8]
9;[9];[9];[9];[9];[9];[7, 9];[7, 9];[7, 9];[6, 7, 9];[6, 7, 9];[6, 7, 9];[6, 7, 9];[6, 7, 9];[6, 7, 9];[6, 7, 9];[6, 7, 9];[6, 7, 9];[6, 7, 9];[6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9];[5, 6, 7, 9]
10;[10];[10];[10];[10];[10];[10];[10];[10];[9, 10];[9, 10];[9, 10];[9, 10];[7, 9, 10];[7, 9, 10];[7, 9, 10];[6, 7, 9, 10];[6, 7, 9, 10];[6, 7, 9, 10];[6, 7, 9, 10];[6, 7, 9, 10];[6, 7, 9, 10];[6, 7, 9, 10];[6, 7, 9, 10];[6, 7, 9, 10];[6, 7, 9, 10];[6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10];[5, 6, 7, 9, 10]
